"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"66","BREYCE","1.03529821240484","1.05112043532903","1.03940582443961","1.05191941985426","1.05520897517251","1.050127765244","1.04641144018692","1.04560180706642","0.548","0.178","0.134","0.03","0.014","0.004","0.002","0.002","0.618738165275173","1.43055064109185","1.47488490493764","2.32114467969009","2.83977796691867","2.92405382643549","3.09900052334671","3.38715284956763","66"
"67","BRIDMA","0.980891561718361","1.00120694600478","0.998991332168822","1.00109354171899","1.01297538483001","1.01691547377805","1.02044919285974","1.01981174422465","0.536","0.934","0.972","0.898","0.264","0.088","0.028","0.02","-0.622339556331724","0.0872907407954881","-0.0361171899465681","0.104386386088516","1.11436902438839","1.62160270111585","2.23494575457923","2.42162902347862","213"
"68","BUCHAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"69","BUCHMO","0.944716230563872","1.17315427643926","1.21111453963237","1.22360966985895","1.1858242559477","1.16620702879461","1.18725242257386","1.19264793702361","0.806","0.126","0.008","0.002","0.002","0.002","0.002","0.002","-0.30124698195234","1.54914876230857","2.529499682347","3.24867998529709","3.22730952667958","3.23388041482535","3.99495086922723","4.32159060880475","7"
"70","CALDNY","1.226641445988","1.31981847422457","1.20252877601491","1.17570637432984","1.21121476949629","1.24470288563406","1.24468199887194","1.29231308569157","0.452","0.07","0.116","0.07","0.018","0.002","0.002","0.002","0.856370483471079","2.00733002120823","1.63026766856844","1.7122815704076","2.32445790480739","3.08349737907022","3.40056257843665","4.42129428033685","3"
"71","CALLAR","0.937795486622134","1.06540278939621","1.31205199961416","1.27652915553517","1.3250061539719","1.32511600451764","1.30291156630601","1.29088119393099","0.954","0.6","0.008","0.004","0.002","0.002","0.002","0.002","-0.213621462461444","0.464508139273285","2.80694944404235","3.00901559106019","4.11782515893433","4.74537168526845","4.99561734263399","5.35668613691149","4"
"72","CALLFA","0.843217614867955","0.899546548216274","0.932181784852238","0.945342728055943","0.971521105407843","0.99434345755372","1.01803672499835","1.02626939602313","0.046","0.052","0.114","0.132","0.37","0.844","0.452","0.222","-1.91105485350078","-1.83530016056502","-1.5612178970924","-1.48743151905986","-0.882587637808045","-0.188301109201123","0.747307589135579","1.21807181606517","34"
"73","CALLLO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"74","CALLPE","1.08348151685177","1.07851605467804","1.06324534658914","1.02533643809746","1.0350202866186","1.0275715331762","1.02988388078442","1.02874205198163","0.238","0.078","0.074","0.416","0.188","0.214","0.14","0.116","1.18132781847197","1.75774290387142","1.79399456189932","0.82504926651232","1.34886291460053","1.24286960863435","1.51092204125416","1.61469392212267","45"
"75","CALLPR","1.13014788673747","1.02131787589916","1.01754616046484","1.03752581214485","1.04576483205185","1.04291018987418","1.04619179292305","1.04503128318439","0.01","0.512","0.472","0.074","0.01","0.004","0.002","0.002","2.653883234947","0.693764973342467","0.727117209506512","1.87586948557394","2.54879131766258","2.7656973358328","3.405480414369","3.72634596361897","98"
"76","CALOMU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"77","CALOSO","1.02237625805567","1.02608873543297","1.02811976982594","1.02197429979421","1.01632835625564","1.01222818789856","1.01071624312404","1.01035100858716","0.024","0.002","0.002","0.002","0.002","0.002","0.002","0.002","2.49550149020001","4.46619674314994","6.13912038343106","5.9320694599684","5.15880649167037","4.4263734831154","4.31190209699416","4.62131415721895","2439"
"78","CALYMA","1.05217311216603","1.07901665183502","1.07416360516479","1.07434787378614","1.08445003898107","1.07394043472288","1.06178448018163","1.05920621602496","0.388","0.064","0.03","0.012","0.002","0.002","0.002","0.002","0.883764487613001","1.89249363611988","2.30127408204722","2.7462996038578","3.5289439436258","3.55072212565481","3.43138636851201","3.81507609295815","70"
"79","CANAAC","1.07907592288624","1.04346463701776","1.03010549230714","1.02429044986659","1.01845049720882","1.0133393472565","1.00961576353882","1.00745856187941","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","9.27368849759674","7.74441235618564","6.87109440263995","6.66473788578354","5.91996535652225","4.9012260239194","4.01501545945042","3.43561182078561","2713"
"80","CANAAS","1.05409600120791","0.9631717468909","1.01031175826819","1.02797254295914","1.03343542587651","1.05070945047373","1.07426522512921","1.08850821813119","0.622","0.71","0.85","0.592","0.45","0.168","0.03","0.004","0.431718836074942","-0.378869452258569","0.189792235290317","0.551234816178008","0.777218910396355","1.32333768561293","2.20387070315247","2.93934152404337","11"
"81","CANAHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"82","CANAIN","1.01077852016098","1.0153114116359","1.01508272715628","1.01391646363198","1.01452530868641","1.01241204450498","1.0130802671731","1.01204857521135","0.566","0.184","0.1","0.07","0.018","0.018","0.006","0.008","0.572514655809411","1.3434126568525","1.69316222487249","1.88464379525501","2.31843199141293","2.2925734374965","2.79549429990043","2.91141233268813","706"
