"","x"
"SIPADE",720
"SIPAMA",66
"SIPAPO",47
"SIPATT",156
"SLOAFR",74
"SLOAGD",28
"SLOAGI",53
"SLOAGR",186
"SLOAGU",50
"SLOAME",1
"SLOANE",1
"SLOAOA",6
"SLOAOB",19
"SLOAOP",21
"SLOAPE",28
"SLOAPO",1
"SLOARO",66
"SLOARU",2
"SLOASY",67
"SLOATO",262
"SOCREX",23
"SOLAAL",88
"SOLAGD",3
"SOLAGR",1
"SOLALE",8
"SOLALP",5
"SOLAMA",62
"SOLASE",4
"SOROMU",202
"SOROPU",248
"SOROST",439
"SPONMO",55
"STERAP",36
"STERAT",3
"STERCO",156
"STERFR",144
"STERTE",173
"STRCDA",28
"STRYPO",16
"STYLLO",97
"STYRCO",2
"STYRGU",6
"SWARAR",37
"SWARBE",70
"SWARBO",18
"SWARCA",85
"SWARMU",62
"SWARSI",60
"SYMHGL",34
"TABEOC",7
"TABESE",26
"TABRPE",7
"TABRSA",130
"TACHFO",302
"TACHPA",16
"TACHPN",2
"TALAOV",56
"TALATY",24
"TALICE",42
"TALIGI",13
"TALIPU",29
"TALIRE",4
"TAPIGU",199
"TAPIOB",24
"TAPISA",20
"TAPUJU",165
"TAPUPE",230
"TERMAM",6
"TERMAX",7
"TERMOB",54
"TERMOG",10
"TESSHE",24
"TETGPA",193
"TETRMC",97
"TETTMA",803
"THEOSP",229
"THEOSU",359
"THYRBA",10
"TOCOBU",14
"TOVOAL",7
"TOVOGC",18
"TOVOGR",29
"TOVOTY",7
"TRATAS",14
"TRATLA",2
"TRATPS",19
"TREMMI",14
"TRICAD",13
"TRICCI",9
"TRICDE",6
"TRICEL",239
"TRICMA",66
"TRICMI",45
"TRICMN",7
"TRICOB",88
"TRICPA",104
"TRICPO",378
"TRICQU",13
"TRICRU",104
"TRICSE",219
"TRICSO",166
"TRIGTR",102
"TRIPDU",1
"TRYMAM",54
"TURPOC",93
"UNIDEN",205
"UNONFL",100
"UNONVE",709
"URERBA",23
"VANTGU",71
"VIRODI",64
"VIRODU",107
"VIROEL",67
"VIROFL",64
"VIROMI",61
"VIROMO",31
"VIROMU",26
"VIROOB",86
"VIROPA",180
"VIROXX",157
"VISMBA",8
"VISMBO",21
"VISMFL",9
"VISMMA",6
"VISMSP",16
"VITESC",14
"VITETR",26
"VOCHBR",6
"VOURAN",6
"WARSCO",140
"WETTMA",177
"WITTST",130
"XYLOCU",55
"XYLOHI",6
"XYLOLI",36
"XYLSGL",1
"ZANTBR",48
"ZANTGL",16
"ZANTMA",116
"ZANTNE",6
"ZANTPE",32
"ZANTPN",12
"ZANTSE",2
"ZANTSU",1
"ZIZICI",18
"ZYGIHE",1086
"ZYGIME",230
"ZZCOOV",1
"ZZFABR",23
"ZZHIAT",269
"ZZHIOL",81
"ZZLABL",32
"ZZLACQ",41
"ZZLAFU",5
"ZZLAGB",55
"ZZLAGV",41
"ZZLAIF",63
"ZZLALR",10
"ZZLALS",186
"ZZLAME",20
"ZZLAMO",12
"ZZLASU",55
"ZZMABU",3
"ZZMAMY",7
"ZZMYCP",38
"ZZMYFA",1
"ZZMYMP",1
"ZZMYPR",36
"ZZMYSC",176
"ZZMYSD",1
"ZZMYSH",37
"ZZMYSP",111
"ZZPITA",13
"ZZRUAP",28
"ZZSAAM",6
"ZZSARU",8
