"","x"
"SEPEHR",1
"SHOR-2",1
"SHORAC",828
"SHORAV",1
"SHORBR",477
"SHORDA",21
"SHORGU",455
"SHORHO",30
"SHORL1",1198
"SHORL2",472
"SHORM",1
"SHORM1",801
"SHORM2",4146
"SHORMU",9
"SHOROC",252
"SHOROV",550
"SHORP1",419
"SHORP2",1540
"SINDCO",815
"SINDEC",40
"SINDVE",125
"SINDWA",12
"SLOAJA",23
"STELCA",4
"STEMMA",64
"STEMUM",1
"STERC1",109
"STERC2",11
"STERHI",22
"STERMA",5
"STERPA",169
"STERRU",109
"STERS1",1
"STREEL",4
"STROJA",1
"STYRBE",19
"SUREMU",56
"SYMPCE",61
"SYMPCO",15
"SYMPCR",344
"SYMPOP",3
"SYMPRU",7
"TABECO",283
"TALACA",21
"TARE11",21
"TAREMA",11
"TAREMO",43
"TARES8",603
"TEIJCO",143
"TEIJSI",7
"TERAP",1
"TERMBE",5
"TERMCI",22
"TERMPH",3
"TERMSU",6
"TERNCO",33
"TETRPO",16
"TIMOS1",51
"TIMOWA",150
"TRI1HY",219
"TRI2MA",28
"TRI3L2",63
"TRI3LO",3
"TRI3MA",415
"TRI4AC",32
"TRIOMA",368
"TRIVMA",33
"TRIVNE",22
"TRIVPU",2
"UROPGL",701
"UROPHI",228
"VATIBE",767
"VATIMA",52
"VATIOD",2
"VATIPA",328
"VERNAR",22
"VITEPI",1
"VITEQU",19
"WALSCH",145
"WALSPI",150
"XANTAF",400
"XANTAM",203
"XANTCH",195
"XANTEL",22
"XANTEU",1412
"XANTGR",592
"XANTRU",94
"XANTSC",9
"XANTST",82
"XANTWR",13
"XENTEW",1
"XERONO",3955
"XYLOCA",207
"XYLOEL",14
"XYLOFE",83
"XYLOFO",92
"XYLOFS",11
"XYLOFU",1
"XYLOHY",1
"XYLOM1",202
"XYLOM2",760
