"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"59","DENDEN","1.09013377868598","1.04767087705288","1.04915657013914","1.05641407863913","1.05343666458305","1.05522971639426","1.05479810516161","1.05387289535672","0.074","0.152","0.056","0.008","0.004","0.002","0.002","0.002","1.81374177436116","1.43055719316912","1.93355079247825","2.70868005845688","2.99706472706462","3.48473161874582","3.87597370777772","4.18415607133262","92"
"60","DENJAP","0.825651687590873","0.870586785241896","0.938164245637832","0.973183782314356","1.00084022648203","1.01980386140654","1.03048597321428","1.04220454334045","0.002","0.002","0.002","0.062","0.966","0.034","0.002","0.002","-5.06686369546338","-5.75953133399557","-3.71665620472652","-1.97029815311016","0.0432587244004182","1.98129495875705","3.451104137067","5.29445245254711","234"
"61","DICFEB","0.940206558228838","0.845295563448476","0.893942374844176","0.931711378163641","0.975753801375041","1.00476926269032","1.03402514963738","1.04784007460134","0.596","0.018","0.032","0.118","0.492","0.858","0.194","0.048","-0.607721621258735","-2.29786272974932","-2.04825919467771","-1.60994692561749","-0.66675712052289","0.17587345563771","1.28021543620419","1.97703825387785","20"
"62","DIOMOR","1.02372531765272","1.0122254280545","1.00224128369126","1.00123113742249","0.998706852894942","0.998525073066183","0.997355339662098","0.997630998016346","0.008","0.038","0.6","0.718","0.666","0.578","0.324","0.312","2.52441479497146","2.03862435791616","0.497756467804645","0.3483938927699","-0.38298822776864","-0.517212803802133","-1.01226044446354","-0.994427623397293","2957"
"63","DIOSTR","0.880852790935297","0.932216010352836","0.963566572765897","0.959990801367883","0.954663597396912","0.961681723384725","0.968028216464827","0.972074897139504","0.002","0.002","0.004","0.002","0.002","0.002","0.002","0.002","-4.17934617357301","-3.74229267443583","-2.72119836864835","-3.58149883771597","-4.83372921926471","-4.60068490160536","-4.33109025545745","-4.17955709407732","354"
"64","DIPDUB","1.02394596491556","1.03374418968038","1.03485458895531","1.02193299871921","1.01075435159188","1.00793275555558","1.00435301514884","1.00337244634807","0.368","0.048","0.006","0.062","0.286","0.366","0.576","0.666","0.866350776014752","1.94217750884121","2.56711007997498","1.90055452945828","1.07813436624776","0.914730213907079","0.552319276869164","0.458988925188461","327"
"65","DIPFRU","1.10070561601745","1.42162671259729","1.3445504767911","1.33688848495221","1.29936088073107","1.38817125031701","1.35912910205763","1.34507355290235","0.666","0.046","0.038","0.014","0.03","0.002","0.002","0.002","0.336119631380091","2.17853746535825","2.12832422094368","2.33459557571783","2.25483232036236","3.13609198964629","3.02806998216112","3.12590269092645","3"
"66","DISRAC","0.840621973396224","0.806025489724773","0.819404289789018","0.838804096884339","0.858386898507358","0.879237853365029","0.894935354089053","0.90921699471792","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-20.1876366452939","-35.7405117867388","-41.4995352441506","-45.3201518818109","-44.9465103840671","-43.5769200271516","-41.1363280525116","-38.4113381510664","3927"
"67","ELACHI","1.0327805846787","1.00666283401083","1.01559254905091","1.01855330581329","1.0196277062473","1.01460620761862","1.01792152597846","1.01781760316368","0.136","0.6","0.142","0.04","0.012","0.02","0.002","0.002","1.55803892237913","0.52352576023301","1.51529400036157","2.16015901443749","2.72854399116831","2.32949261957774","3.17392826591994","3.4925238774566","576"
"68","ELADEC","0.974992658326975","0.972122002590024","0.969745672040948","0.967565969546268","0.967172376029508","0.9681121578636","0.970470046746029","0.971941858596934","0.016","0.002","0.002","0.002","0.002","0.002","0.002","0.002","-2.56651250137317","-4.42656874011054","-6.22054997454062","-8.31034513789729","-9.85074674720596","-10.809236611997","-10.9061814053106","-11.1106494029851","2848"
