"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"40","APHA01","0.905687457286264","0.951583151710962","0.950088891151126","0.960031776432924","0.96676103634318","0.974035777722798","0.98632884530733","0.993079608257694","0.08","0.202","0.132","0.158","0.194","0.266","0.506","0.676","-1.73213103803483","-1.27133349910172","-1.55984708297425","-1.41243035232217","-1.29302886514091","-1.10654781875506","-0.660126269793522","-0.387538948410926","91"
"41","APHAPH","0.991182105748191","1.13966699522837","1.09183970840425","1.08249781280846","1.07189000068609","1.06389152429548","1.04536682503603","1.03390164551729","0.966","0.038","0.084","0.062","0.06","0.056","0.152","0.24","-0.125055225530848","2.36610445779675","1.91382533651222","1.9809712795112","1.96633349336433","1.92557415359793","1.46839599596596","1.17364737463449","31"
"42","APHAPO","1.04968974275557","1.0445410971773","1.03638913911865","1.03016017851265","1.02523096336953","1.02080610075777","1.01714723797359","1.01428426949261","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.002","7.02891873912945","9.14364944837209","8.87025303661184","8.06497138777173","7.29281667330549","6.43519282988644","5.6320109485629","5.02876007371959","4500"
"43","APORPA","1.07920815058646","1.05408271526051","1.05126794667535","1.04679295348722","1.04795502088047","1.04284583870172","1.03887049330905","1.03335456794254","0.004","0.004","0.002","0.002","0.002","0.002","0.002","0.002","3.60654897399606","3.64369778675182","4.13339600748519","4.2521321535672","4.68458372860311","4.48310927522388","4.33044115121932","3.97594399125235","494"
"44","ARCHGL","0.923373905596459","0.954791360063088","0.948145163449925","0.9501203918083","0.947131417561694","0.97061552840213","0.969910419622843","0.968188115783082","0.316","0.386","0.238","0.202","0.14","0.374","0.356","0.308","-1.06430983043583","-0.910308244909208","-1.21533199555835","-1.28457712783379","-1.44609762704138","-0.869621598854886","-0.939018766576778","-1.04977806472728","41"
"45","ARCHLU","0.971713970627286","0.982334083910628","0.989056858950013","0.991619486320599","0.992543956222826","0.991733261717042","0.994676404343308","0.996181589916486","0.07","0.092","0.226","0.31","0.31","0.246","0.42","0.542","-1.80455084903879","-1.65544632443027","-1.20491954030092","-1.03073852733218","-0.969506811183554","-1.16365869997801","-0.791109590627884","-0.595194235607046","908"
"46","ARCHPT","1.09154305403259","1.01852903494861","1.00801481479035","1.00621564827466","1.00681873612953","1.00847402059773","1.00540845973762","1.00615450396309","0.026","0.54","0.766","0.812","0.764","0.714","0.828","0.77","2.19875496432896","0.619285502962974","0.303531360891828","0.242546752013809","0.288977998911376","0.393494167569474","0.23685267640872","0.293585622927726","122"
"47","ARDIIM","1.02360914381898","1.00709578760174","0.999811804602846","0.996203252573506","0.996677356284314","0.996864457912107","0.997600914614237","0.997376999363834","0.098","0.468","0.958","0.598","0.59","0.574","0.652","0.59","1.64029170455599","0.711764035881264","-0.0485256248148054","-0.561174006324731","-0.543083913237644","-0.558957971846736","-0.46450821064553","-0.541134670274574","1076"
"48","ARDILA","1.03715660385731","0.969842535355294","0.975404119022948","0.972128341103652","0.977718670672597","0.980952173556527","0.98004230692129","0.982577057647321","0.234","0.18","0.18","0.104","0.138","0.18","0.15","0.178","1.19517182730529","-1.3293257886845","-1.32175514902782","-1.70220134747862","-1.47770662027464","-1.32479138618747","-1.49454165209993","-1.36441950890657","221"
"49","ARECA1","1.12377164156498","1.16255290471903","1.33281747060023","1.36099180624491","1.31847283707381","1.27963313371489","1.2911495947613","1.26417086468683","0.706","0.416","0.072","0.036","0.034","0.026","0.006","0.012","0.41691505696393","0.814696854980349","1.93743007295246","2.24899090281056","2.2472004311553","2.20732388500929","2.53101465763639","2.51307481118688","2"
"50","ARTOAL","0.919537704057391","0.879164233551972","0.928737452065377","0.97584062147622","0.960624282175302","0.984515144438215","0.977745029309167","0.981272722770598","0.64","0.224","0.388","0.746","0.554","0.828","0.696","0.748","-0.551751482828178","-1.23495008630208","-0.885937824869458","-0.332639566830905","-0.607781157938219","-0.24463013603987","-0.393132801885179","-0.347426895436797","12"
"51","ARTOCA","0.920921550215757","0.890022828047568","0.912682146728747","0.915432133918023","0.920799914385545","0.928379311406041","0.938255381755459","0.945480957851927","0.102","0.002","0.002","0.002","0.002","0.002","0.002","0.006","-1.64295749555513","-3.19250781640407","-3.01878345577979","-3.36489308234853","-3.47839955133822","-3.38378025468625","-3.14417761584644","-3.01150445422351","107"
"52","ARTOCO","0.914027227039356","0.949700217016233","0.943083237561869","0.933373734576666","0.9417382060563","0.945983165552692","0.957709464165307","0.966395563389545","0.23","0.296","0.14","0.05","0.056","0.058","0.1","0.164","-1.18816654152194","-1.02915359942075","-1.44295827865595","-1.9069995022686","-1.82020506649933","-1.82881501370128","-1.56258164604214","-1.34811700613689","49"
"53","ARTOFR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"54","ARTOLA","0.978035755135825","0.977440144234053","0.984238230534381","0.986326882050354","0.987642171958023","0.991868301624976","0.994640441558455","0.999009525194232","0.384","0.168","0.27","0.26","0.27","0.446","0.62","0.946","-0.887871965310569","-1.36014848111112","-1.13321504537007","-1.11984507103303","-1.11111127649758","-0.784115947318466","-0.544752345777256","-0.100397507325622","393"
"55","ARTOSE","0.817726196844943","0.883644479472734","0.915220703801075","0.935430603200739","0.943987879692626","0.950219818688816","0.960775645462553","0.966388159681136","0.002","0.002","0.002","0.002","0.002","0.002","0.002","0.004","-6.06529069343448","-5.65276500722061","-4.96147293924111","-4.33065331139823","-4.13356365031414","-3.99065695810516","-3.39258639330582","-3.1147261986394","288"
